x_m,delta_star_mm,theta_mm,H_i,Re_theta
0.1901502504173622,0.5587287961989691,0.2148956908457573,2.6,1570.7549429541732
0.1918030050083472,0.5611517318881206,0.2158275891877387,2.6,1577.56654499369
0.1934557595993322,0.5635642507293651,0.2167554810497558,2.6,1584.3488621354863
0.1951085141903172,0.5659664859329501,0.2176794176665193,2.6,1591.102268873627
0.1967612687813021,0.5683585678939532,0.218599449189982,2.6,1597.8271317878757
0.1984140233722871,0.5707406242748753,0.2195156247211059,2.6,1604.5238097758918
0.2000667779632721,0.5731127800851448,0.2204279923404403,2.6,1611.1926542767403
0.2017195325542571,0.5754751577576723,0.2213365991375663,2.6,1617.8340094861062
0.203372287145242,0.5778278772225887,0.2222414912394572,2.6,1624.4482125635936
0.205025041736227,0.5801710559782909,0.2231427138378042,2.6,1631.035593832457
0.206677796327212,0.582504809159917,0.2240403112153527,2.6,1637.5964769720993
0.208330550918197,0.5848292496053615,0.2249343267712929,2.6,1644.1311792036686
0.2099833055091819,0.5871444879189364,0.2258248030457447,2.6,1650.6400114690123
0.2116360601001669,0.5894506325327852,0.2267117817433789,2.6,1657.1232786033418
0.2132888146911519,0.5917477897661422,0.2275953037562085,2.6,1663.5812795018132
0.2149415692821369,0.5940360638825246,0.2284754091855864,2.6,1670.0143072803203
0.2165943238731218,0.5963155571449578,0.2293521373634453,2.6,1676.4226494307375
0.2182470784641068,0.598586369869299,0.2302255268728073,2.6,1682.8065879708276
0.2198998330550918,0.6008486004757548,0.231095615567598,2.6,1689.1663995890722
0.2215525876460768,0.6031023455386533,0.2319624405917897,2.6,1695.5023557845846
0.2232053422370617,0.6053476998345527,0.2328260383979049,2.6,1701.8147230023603
0.2248580968280467,0.6075847563887486,0.2336864447649033,2.6,1708.1037627640078
0.2265108514190317,0.6098136065202442,0.2345436948154785,2.6,1714.3697317941756
0.2281636060100167,0.6120343398852492,0.2353978230327882,2.6,1720.6128821428304
0.2298163606010016,0.6142470445192622,0.2362488632766393,2.6,1726.8334613035502
0.2314691151919866,0.6164518068777921,0.2370968487991508,2.6,1733.0317123280033
0.2331218697829716,0.6186487118757759,0.2379418122599138,2.6,1739.207873936748
0.2347746243739566,0.620837842925741,0.2387837857406696,2.6,1745.3621806265085
0.2364273789649415,0.6230192819747578,0.2396228007595222,2.6,1751.494862774043
0.2380801335559265,0.6251931095402357,0.240458888284706,2.6,1757.6061467367695
0.2397328881469115,0.6273594047445996,0.2412920787479229,2.6,1763.6962549502325
0.2413856427378965,0.6295182453488961,0.2421224020572677,2.6,1769.7654060225564
0.2430383973288814,0.6316697077853621,0.2429498876097547,2.6,1775.8138148259966
0.2446911519198664,0.6338138671890011,0.243774564303462,2.6,1781.8416925856714
0.2463439065108514,0.6359507974282007,0.24459646054930792,2.6,1787.8492469656308
0.2479966611018364,0.6380805711344287,0.2454156042824726,2.6,1793.836682152297
0.2496494156928213,0.6402032597310365,0.2462320229734756,2.6,1799.804198935414
0.2513021702838063,0.6423189334612108,0.24704574363892723,2.6,1805.7519947865878
0.2529549248747913,0.6444276614150963,0.2478567928519601,2.6,1811.6802639355046
0.2546076794657763,0.6465295115561241,0.24866519675235543,2.6,1817.5891974438948
0.2562604340567612,0.6486245507465698,0.24947098105637297,2.6,1823.4789832773397
0.2579131886477462,0.6507128447723762,0.2502741710662985,2.6,1829.3498063749935
0.2595659432387312,0.6527944583672567,0.2510747916797141,2.6,1835.2018487172872
0.2612186978297162,0.6548694552361121,0.2518728673985046,2.6,1841.0352893916897
